----------------------------------------
| act/                      |          |
|    calibrate_share        | 0.101    |
|    conflicts_repaired     | 456      |
|    downlink_slots_used    | 96.8     |
|    executor_switches      | 244      |
|    idle_share             | 0.776    |
|    job_share              | 0.123    |
| events/                   |          |
|    add_jobs               | 0        |
|    close_downlink         | 10.2     |
|    outage                 | 12.2     |
|    skipped                | 32.8     |
| ops/                      |          |
|    below_reserve_steps    | 0        |
|    blocked_commands       | 0        |
|    brownout_steps         | 0        |
|    completed_share        | 0.717    |
|    critical_done_on_time  | 183      |
|    critical_due           | 334      |
|    critical_on_time_share | 0.547    |
|    episodes               | 4        |
|    jobs_completed         | 866      |
|    jobs_due_missed        | 342      |
|    min_soc_pct            | 46.7     |
|    revenue_usd            | 2.16e+04 |
|    work_lost_steps        | 115      |
| rollout/                  |          |
|    ep_len_mean            | 288      |
|    ep_rew_mean            | 2.5e+03  |
| time/                     |          |
|    fps                    | 52       |
|    iterations             | 1        |
|    time_elapsed           | 21       |
|    total_timesteps        | 1152     |
----------------------------------------
-------------------------------------------
| act/                      |             |
|    calibrate_share        | 0.095       |
|    conflicts_repaired     | 453         |
|    downlink_slots_used    | 100         |
|    executor_switches      | 240         |
|    idle_share             | 0.782       |
|    job_share              | 0.123       |
| events/                   |             |
|    add_jobs               | 0           |
|    close_downlink         | 9.75        |
|    outage                 | 17          |
|    skipped                | 37.5        |
| ops/                      |             |
|    below_reserve_steps    | 0           |
|    blocked_commands       | 0           |
|    brownout_steps         | 0           |
|    completed_share        | 0.716       |
|    critical_done_on_time  | 185         |
|    critical_due           | 334         |
|    critical_on_time_share | 0.554       |
|    episodes               | 8           |
|    jobs_completed         | 865         |
|    jobs_due_missed        | 343         |
|    min_soc_pct            | 46.3        |
|    revenue_usd            | 2.14e+04    |
|    work_lost_steps        | 118         |
| rollout/                  |             |
|    ep_len_mean            | 288         |
|    ep_rew_mean            | 2.52e+03    |
| time/                     |             |
|    fps                    | 16          |
|    iterations             | 2           |
|    time_elapsed           | 143         |
|    total_timesteps        | 2304        |
| train/                    |             |
|    approx_kl              | 0.046282385 |
|    clip_fraction          | 0.229       |
|    clip_range             | 0.2         |
|    entropy_loss           | -31.4       |
|    explained_variance     | 0.000278    |
|    learning_rate          | 3e-05       |
|    loss                   | 1.13e+04    |
|    n_updates              | 4           |
|    policy_gradient_loss   | 0.00357     |
|    value_loss             | 2.37e+04    |
-------------------------------------------
------------------------------------------
| act/                      |            |
|    calibrate_share        | 0.0954     |
|    conflicts_repaired     | 414        |
|    downlink_slots_used    | 97         |
|    executor_switches      | 228        |
|    idle_share             | 0.782      |
|    job_share              | 0.122      |
| events/                   |            |
|    add_jobs               | 0          |
|    close_downlink         | 8.75       |
|    outage                 | 16         |
|    skipped                | 36.2       |
| ops/                      |            |
|    below_reserve_steps    | 0          |
|    blocked_commands       | 0          |
|    brownout_steps         | 0          |
|    completed_share        | 0.712      |
|    critical_done_on_time  | 189        |
|    critical_due           | 334        |
|    critical_on_time_share | 0.567      |
|    episodes               | 12         |
|    jobs_completed         | 860        |
|    jobs_due_missed        | 348        |
|    min_soc_pct            | 46.8       |
|    revenue_usd            | 2.13e+04   |
|    work_lost_steps        | 118        |
| rollout/                  |            |
|    ep_len_mean            | 288        |
|    ep_rew_mean            | 2.53e+03   |
| time/                     |            |
|    fps                    | 13         |
|    iterations             | 3          |
|    time_elapsed           | 265        |
|    total_timesteps        | 3456       |
| train/                    |            |
|    approx_kl              | 0.01124969 |
|    clip_fraction          | 0.0612     |
|    clip_range             | 0.2        |
|    entropy_loss           | -30.3      |
|    explained_variance     | 0.00282    |
|    learning_rate          | 3e-05      |
|    loss                   | 1.22e+04   |
|    n_updates              | 8          |
|    policy_gradient_loss   | -0.00385   |
|    value_loss             | 2.43e+04   |
------------------------------------------
-------------------------------------------
| act/                      |             |
|    calibrate_share        | 0.102       |
|    conflicts_repaired     | 391         |
|    downlink_slots_used    | 94.8        |
|    executor_switches      | 232         |
|    idle_share             | 0.776       |
|    job_share              | 0.121       |
| events/                   |             |
|    add_jobs               | 0           |
|    close_downlink         | 9           |
|    outage                 | 13.2        |
|    skipped                | 35.5        |
| ops/                      |             |
|    below_reserve_steps    | 0           |
|    blocked_commands       | 0           |
|    brownout_steps         | 0           |
|    completed_share        | 0.706       |
|    critical_done_on_time  | 186         |
|    critical_due           | 334         |
|    critical_on_time_share | 0.555       |
|    episodes               | 16          |
|    jobs_completed         | 852         |
|    jobs_due_missed        | 356         |
|    min_soc_pct            | 46.8        |
|    revenue_usd            | 2.11e+04    |
|    work_lost_steps        | 117         |
| rollout/                  |             |
|    ep_len_mean            | 288         |
|    ep_rew_mean            | 2.52e+03    |
| time/                     |             |
|    fps                    | 11          |
|    iterations             | 4           |
|    time_elapsed           | 384         |
|    total_timesteps        | 4608        |
| train/                    |             |
|    approx_kl              | 0.032782264 |
|    clip_fraction          | 0.268       |
|    clip_range             | 0.2         |
|    entropy_loss           | -30.8       |
|    explained_variance     | 0.00439     |
|    learning_rate          | 3e-05       |
|    loss                   | 1.22e+04    |
|    n_updates              | 12          |
|    policy_gradient_loss   | 0.0194      |
|    value_loss             | 2.45e+04    |
-------------------------------------------
-------------------------------------------
| act/                      |             |
|    calibrate_share        | 0.113       |
|    conflicts_repaired     | 399         |
|    downlink_slots_used    | 98.5        |
|    executor_switches      | 230         |
|    idle_share             | 0.765       |
|    job_share              | 0.122       |
| events/                   |             |
|    add_jobs               | 0           |
|    close_downlink         | 10          |
|    outage                 | 16.5        |
|    skipped                | 34.2        |
| ops/                      |             |
|    below_reserve_steps    | 0           |
|    blocked_commands       | 0           |
|    brownout_steps         | 0           |
|    completed_share        | 0.704       |
|    critical_done_on_time  | 189         |
|    critical_due           | 334         |
|    critical_on_time_share | 0.566       |
|    episodes               | 20          |
|    jobs_completed         | 851         |
|    jobs_due_missed        | 357         |
|    min_soc_pct            | 45.9        |
|    revenue_usd            | 2.1e+04     |
|    work_lost_steps        | 126         |
| rollout/                  |             |
|    ep_len_mean            | 288         |
|    ep_rew_mean            | 2.52e+03    |
| time/                     |             |
|    fps                    | 11          |
|    iterations             | 5           |
|    time_elapsed           | 507         |
|    total_timesteps        | 5760        |
| train/                    |             |
|    approx_kl              | 0.014426536 |
|    clip_fraction          | 0.188       |
|    clip_range             | 0.2         |
|    entropy_loss           | -32.4       |
|    explained_variance     | 0.00619     |
|    learning_rate          | 3e-05       |
|    loss                   | 1.05e+04    |
|    n_updates              | 16          |
|    policy_gradient_loss   | 0.00131     |
|    value_loss             | 2.28e+04    |
-------------------------------------------
-------------------------------------------
| act/                      |             |
|    calibrate_share        | 0.12        |
|    conflicts_repaired     | 384         |
|    downlink_slots_used    | 102         |
|    executor_switches      | 212         |
|    idle_share             | 0.759       |
|    job_share              | 0.121       |
| events/                   |             |
|    add_jobs               | 0           |
|    close_downlink         | 8.25        |
|    outage                 | 13.8        |
|    skipped                | 34.5        |
| ops/                      |             |
|    below_reserve_steps    | 0           |
|    blocked_commands       | 0           |
|    brownout_steps         | 0           |
|    completed_share        | 0.697       |
|    critical_done_on_time  | 188         |
|    critical_due           | 334         |
|    critical_on_time_share | 0.561       |
|    episodes               | 24          |
|    jobs_completed         | 842         |
|    jobs_due_missed        | 366         |
|    min_soc_pct            | 44.6        |
|    revenue_usd            | 2.08e+04    |
|    work_lost_steps        | 142         |
| rollout/                  |             |
|    ep_len_mean            | 288         |
|    ep_rew_mean            | 2.51e+03    |
| time/                     |             |
|    fps                    | 10          |
|    iterations             | 6           |
|    time_elapsed           | 631         |
|    total_timesteps        | 6912        |
| train/                    |             |
|    approx_kl              | 0.033968702 |
|    clip_fraction          | 0.293       |
|    clip_range             | 0.2         |
|    entropy_loss           | -32.8       |
|    explained_variance     | 0.00715     |
|    learning_rate          | 3e-05       |
|    loss                   | 1.09e+04    |
|    n_updates              | 20          |
|    policy_gradient_loss   | 0.02        |
|    value_loss             | 2.32e+04    |
-------------------------------------------
-------------------------------------------
| act/                      |             |
|    calibrate_share        | 0.129       |
|    conflicts_repaired     | 336         |
|    downlink_slots_used    | 88.5        |
|    executor_switches      | 213         |
|    idle_share             | 0.753       |
|    job_share              | 0.118       |
| events/                   |             |
|    add_jobs               | 0           |
|    close_downlink         | 7.75        |
|    outage                 | 12.8        |
|    skipped                | 38.5        |
| ops/                      |             |
|    below_reserve_steps    | 0           |
|    blocked_commands       | 0           |
|    brownout_steps         | 0           |
|    completed_share        | 0.677       |
|    critical_done_on_time  | 174         |
|    critical_due           | 334         |
|    critical_on_time_share | 0.52        |
|    episodes               | 28          |
|    jobs_completed         | 818         |
|    jobs_due_missed        | 390         |
|    min_soc_pct            | 45.5        |
|    revenue_usd            | 2e+04       |
|    work_lost_steps        | 152         |
| rollout/                  |             |
|    ep_len_mean            | 288         |
|    ep_rew_mean            | 2.46e+03    |
| time/                     |             |
|    fps                    | 10          |
|    iterations             | 7           |
|    time_elapsed           | 753         |
|    total_timesteps        | 8064        |
| train/                    |             |
|    approx_kl              | 0.037619308 |
|    clip_fraction          | 0.411       |
|    clip_range             | 0.2         |
|    entropy_loss           | -34         |
|    explained_variance     | 0.00925     |
|    learning_rate          | 3e-05       |
|    loss                   | 9.4e+03     |
|    n_updates              | 24          |
|    policy_gradient_loss   | 0.0214      |
|    value_loss             | 2.11e+04    |
-------------------------------------------
-------------------------------------------
| act/                      |             |
|    calibrate_share        | 0.139       |
|    conflicts_repaired     | 338         |
|    downlink_slots_used    | 83.8        |
|    executor_switches      | 205         |
